Time,Action,BE_Val0,BE_Val1,BE_Val2,LE_Val0,LE_Val1,LE_Val2
0.00,STAY,-483258838,-550792433,599220128,705573603,261303263,-1604339933
0.05,STAY,-483288376,-550777884,599200887,-929418781,-456447009,1997846307
0.10,STAY,-483327641,-550738852,599167093,1728131555,1550068959,1972418083
0.15,STAY,-483344005,-550707205,599156574,2076258531,-69260065,1583855139
0.20,STAY,-483332045,-550702681,599165436,871379171,-1477366561,-58083805
0.25,STAY,-483312603,-550717500,599174959,624701923,-994628385,800044579
0.30,STAY,-483315153,-550727011,599169687,791818723,-1651364641,-1751468509
0.35,STAY,-483356894,-550741222,599115449,579809507,442182879,-1178159837
0.40,STAY,-483366315,-550728934,599092976,1433022691,445328607,-261180125
0.45,STAY,-483359306,-550733188,599081398,-1232785181,2088381663,-1237207773
0.51,STAY,-483391111,-550732711,599035523,2030645475,1501310175,-2087799773
0.56,STAY,-483404580,-550741470,599004776,-590073885,576335071,1746318371
0.61,STAY,-483456049,-550714579,598934645,-821350429,767765727,1963242275
0.66,STAY,-483451908,-550720140,598919936,-65327133,1957506271,13349411
0.71,STAY,-483448919,-550717707,598898650,-1457049629,-172610337,-629689821
0.76,STAY,-483427093,-550736469,598897779,-344182813,-1418908449,1937027619
0.81,STAY,-483413955,-550744985,598886286,1034956771,1733045471,-1907903965
0.86,STAY,-483414573,-550756123,598857123,-743624733,-450876193,-1546276573
0.91,STAY,-483412405,-550770962,598842705,1270231011,-286905377,1369288995
0.96,STAY,-483423570,-550773379,598806689,-1366675485,2111646687,-1592741597
1.01,STAY,-483420683,-550786100,598793895,-174772253,-861197345,-1478578141
1.06,STAY,-483418608,-550797569,598779034,278802403,-8508449,-1700483037
1.11,STAY,-483419109,-550802601,598759380,463220707,1466641375,-732450781
1.16,STAY,-483403410,-550823498,598753383,1859727331,-1239864353,1732292643
1.21,STAY,-483412699,-550830821,598723027,632631267,469576415,-741757149
1.26,STAY,-483405366,-550840437,598712153,-892260381,-1948833057,1503637283
1.31,STAY,-483409596,-550838456,598692987,1153511395,1222585055,2069147427
1.36,STAY,-483432710,-550844942,598664013,-93966365,-221959457,1306766883
1.41,STAY,-483443673,-550854000,598636645,658255843,-1868420385,1702407715
1.46,STAY,-483457779,-550860327,598611882,218443747,-645322017,-1441288669
1.51,STAY,-483467832,-550865592,598591702,-925028637,1215638239,-691491549
1.57,STAY,-483471415,-550865442,598572643,-909168925,-562746657,1669246243
1.62,STAY,-483479084,-550877040,598550786,-726585629,-1874318625,36285731
1.67,STAY,-483492981,-550871446,598524616,-1954861341,1784556255,-926766045
1.72,STAY,-483496848,-550874792,598510795,1886138083,1481714399,-879973341
1.77,STAY,-483510006,-550868374,598485097,171519715,1785342687,1764273187
1.82,STAY,-483506938,-550872083,598476294,105197283,-312792353,101100579
1.87,STAY,-483519133,-550879922,598447493,1662332643,1312631519,-2053788893
1.92,STAY,-483531173,-550875839,598426315,1541811683,1095576287,-884823261
1.97,STAY,-483536912,-550876945,598409019,-254857757,-280483105,1006610979
2.02,STAY,-483550281,-550874419,598382356,-1214566941,-850253089,345483811
2.07,STAY,-483559036,-550879047,598361671,-2072433181,-1186977057,1195813411
2.12,STAY,-483569276,-550882871,598337623,-2075054621,-919524641,1474865443
2.17,STAY,-483567327,-550887288,598326023,559492579,-2011157793,129739043
2.22,STAY,-483583495,-550886374,598296263,-115790365,438577887,-951670493
2.27,STAY,-483600461,-550887946,598265964,-1277743901,-165860641,1825613859
2.32,STAY,-483619271,-550883618,598234603,965618915,-567399713,-346707933
2.37,STAY,-483634300,-550882607,598206630,-2074923805,-785241377,-1494702301
2.42,STAY,-483622985,-550889052,598204427,-1216402205,-1541854497,199272227
2.47,STAY,-483605275,-550896196,598202948,-440128285,-1124259361,1155180323
2.52,STAY,-483592871,-550909662,598196252,1509240035,583608799,482387747
2.57,STAY,-483591459,-550920785,598181632,-570807069,-1348654625,8890147
2.63,STAY,-483592340,-550927868,598160174,1828138211,75639263,775137059
2.68,STAY,-483592977,-550936542,598140032,-269210397,576727519,-2132498909
2.73,STAY,-483597248,-550944869,598127301,1088695523,-1690359329,-978147805
2.78,STAY,-483592147,-550953462,598121001,771239139,169748959,698000931
2.83,STAY,-483580752,-550961479,598115660,-1339806237,-1174525729,1283827235
2.88,STAY,-483578374,-550975529,598097317,-97702429,-674813729,-1522686429
2.93,STAY,-483594970,-550986978,598071764,653077731,513485023,-723933917
2.98,STAY,-483614775,-550997097,598039364,-912315165,-1754060577,1146856739
3.03,STAY,-483631674,-551006055,598013803,-966972189,-1722799905,1811391523
3.08,STAY,-483650924,-551008231,597986590,-1810748189,424159455,512599075
3.13,STAY,-483645776,-551014565,597975032,-1339675421,1529817311,-127949789
3.18,STAY,-483622726,-551027204,597976327,-1166005021,-50518049,124101667
3.23,STAY,-483612091,-551032578,597970363,1168780515,-18339873,-1152539613
3.28,STAY,-483602646,-551041051,597959682,718220515,-439932961,35955747
3.33,STAY,-483593557,-551052636,597949386,-1410192157,-1533401121,-889478365
3.38,STAY,-483599923,-551054836,597928330,-841405213,210905055,-1968594141
3.43,STAY,-483627132,-551064881,597891366,-2073088797,-815126561,639214371
3.49,STAY,-483600788,-551073246,597899833,1825975523,575285215,960144163
3.54,STAY,-483604144,-551084744,597876935,1355361507,941434847,-941579741
3.59,STAY,-483606403,-551099375,597854619,2109746403,300164831,-1685478877
3.64,STAY,-483589334,-551099720,597857048,704851427,-1193138465,412328483
3.69,STAY,-483598789,-551101865,597833796,1004416227,1473914591,1144562211
3.74,STAY,-483612374,-551107272,597808834,715730147,952444639,-1026121437
3.79,STAY,-483601953,-551112937,597802919,-539939613,397354719,-1480613597
3.84,STAY,-483613872,-551121237,597780077,1352871139,-1416747297,1835442467
3.89,STAY,-483613189,-551131523,597768036,-73061149,2103846623,1681367331
3.94,STAY,-483635160,-551142500,597734723,676343011,-1673845025,1135976483
3.99,STAY,-483641583,-551146803,597719263,288828643,-852875553,-545742813
4.04,STAY,-483650154,-551156906,597705729,-1776997149,1443047135,21274659
4.09,STAY,-483641487,-551159417,597701376,1899441379,-2013714977,3383331
4.14,STAY,-483636950,-551170943,597688061,709438691,-2117327393,-33644765
4.19,STAY,-483617789,-551160285,597697840,60042467,603334111,807772195
4.24,STAY,-483607784,-551151965,597698561,414919907,-1558829345,19439651
4.29,STAY,-483598380,-551145828,597695718,-723571485,-1674696993,-434331613
4.34,STAY,-483594352,-551137203,597685378,-1863373597,1297098463,-2097897693
4.39,STAY,-483585608,-551132450,597685146,-1206833693,-563992865,-1695310045
4.44,STAY,-483577537,-551119391,597686169,1060187619,-510318881,-1711825117
4.49,STAY,-483567869,-551114415,597686829,56045027,1370040031,771399459
4.55,STAY,-483565642,-551101319,597682046,-1235276317,2044471007,2129108771
4.60,STAY,-483558300,-551090509,597685469,1685859811,-1291442209,-571171037
4.65,STAY,-483559039,-551061448,597696437,-2122764829,947398623,-1256218589
4.70,STAY,-483553146,-551037958,597712493,-2037371421,-86824993,1834917923
4.75,STAY,-483544468,-551009694,597726232,1823616483,1648503007,412393507
4.80,STAY,-483546219,-550991996,597725946,-1783943709,-2071516961,-91054045
4.85,STAY,-483547277,-550967638,597722564,1940336099,-1427756833,-997875677
4.90,STAY,-483556169,-550949030,597715031,-1216074269,1513040351,1466474531
4.95,STAY,-483547414,-550928246,597722955,-358208029,-1971312161,1267179555
5.00,PITCH (前),-483555532,-550906860,597710952,881274339,349448671,1750638627
5.05,PITCH (前),-483552397,-550884496,597712611,1939025379,1881877215,-480337885
5.10,PITCH (前),-483542759,-550875290,597720339,431566307,1716464351,327000099
5.15,PITCH (前),-483501328,-550845572,597759554,-262525213,2093165279,1108779299
5.20,PITCH (前),-483498055,-550814946,597763480,-1184420125,507194335,-1742364381
5.25,PITCH (前),-483519697,-550800831,597744207,789786339,1098001375,1339727907
5.30,PITCH (前),-483524271,-550785451,597744294,1359032035,1437477855,-1495621597
5.35,PITCH (前),-483508863,-550764271,597760997,-2126696733,285289695,-451174109
5.41,PITCH (前),-483500565,-550731745,597767248,-346214685,528493791,1345626403
5.46,PITCH (前),-483505792,-550704691,597764785,-2142687517,-840356641,-1322606301
5.51,PITCH (前),-483520554,-550681471,597756350,-703648029,-2126238241,-1106665181
5.56,PITCH (前),-483816044,-549833976,597363260,-1802688029,137575135,1007328035
5.61,PITCH (前),-484707564,-541122182,597674943,351476707,2049032159,-1077174493
5.66,PITCH (前),-480826335,-543684521,597577478,556554211,1460181215,105881123
5.71,PITCH (前),-467758207,-564533073,594460847,-2121064732,-1343727138,-1346343389
5.76,PITCH (前),-431505203,-600795215,594272325,-843036698,-1315491620,1172335395
5.81,PITCH (前),-398323571,-622791778,601672814,-1928314136,-1628184358,1858919459
5.86,PITCH (前),-365090436,-639096850,622286439,2083077610,-299374375,1733695269
5.91,PITCH (前),-357279811,-641035165,642111862,-1118325526,1670695641,1993950502
5.96,PITCH (前),-377554467,-628584839,648185277,-570851607,2039384282,-1115315674
6.01,PITCH (前),-403361024,-612802362,638155022,3405287,-966755877,242813222
6.06,PITCH (前),-437922590,-595989148,617731835,-489363995,1693284828,-69807836
6.11,PITCH (前),-464227324,-582977984,602982679,74732772,1081491677,399110179
6.16,PITCH (前),-502424027,-568856792,581940158,631115234,686757854,-1095520478
6.21,PITCH (前),-534709502,-549218620,561529296,50012384,-996785185,-801015775
6.26,PITCH (前),-553376690,-523733640,548326031,1310983391,2020985056,-1882542560
6.32,PITCH (前),-568616122,-493981855,535851428,1184570334,1634701026,-1536036833
6.37,PITCH (前),-574604650,-470124693,527112985,-1774534435,1803025123,421227295
