Time,Action,Val0,Val1,Val2,Val3
0.00,STAY (ê√é~),456335267,431884376,-627923831,-603214042
0.05,STAY (ê√é~),456205513,431814865,-627989394,-603293694
0.10,STAY (ê√é~),456076813,431756875,-628054745,-603364475
0.15,STAY (ê√é~),455948926,431703204,-628116933,-603434794
0.20,STAY (ê√é~),455829442,431643232,-628169596,-603513139
0.25,STAY (ê√é~),455713184,431597909,-628212024,-603589180
0.30,STAY (ê√é~),455191861,431183449,-627993308,-604505679
0.35,STAY (ê√é~),455674423,431141435,-625912740,-606327168
0.40,STAY (ê√é~),456670540,432164298,-623466016,-607369470
0.45,STAY (ê√é~),457000477,432832342,-622111059,-608034594
0.51,STAY (ê√é~),457853767,432754555,-620605463,-608985872
0.56,STAY (ê√é~),459441432,432233784,-619512849,-609272405
0.61,STAY (ê√é~),460762725,432085798,-619415887,-608477643
0.66,STAY (ê√é~),460845559,432251815,-620433109,-607259424
0.71,STAY (ê√é~),460124986,432437711,-621711351,-606365508
0.76,STAY (ê√é~),459800445,432359411,-622573224,-605782947
0.81,STAY (ê√é~),459505451,432615761,-623392497,-604980698
0.86,STAY (ê√é~),459181471,433117455,-624040595,-604199050
0.91,STAY (ê√é~),458451600,434013741,-624538406,-603595469
0.96,STAY (ê√é~),456697991,435048804,-625314014,-603376646
1.01,STAY (ê√é~),454889132,436520075,-626629155,-602315129
1.06,STAY (ê√é~),454573849,437241306,-627147171,-601490310
1.11,STAY (ê√é~),454635435,437303760,-627093645,-601454165
1.16,STAY (ê√é~),454665857,436984643,-626352812,-602434265
1.21,STAY (ê√é~),454289177,436975489,-625481528,-603629132
1.26,STAY (ê√é~),453617582,437664790,-625095263,-604034803
1.31,STAY (ê√é~),453603135,438458545,-624697011,-603881988
1.36,STAY (ê√é~),454068088,439263967,-624571209,-603076820
1.42,STAY (ê√é~),454974725,439824760,-624415884,-602144910
1.47,STAY (ê√é~),456618970,440028622,-624046985,-601132930
1.52,STAY (ê√é~),457921558,440506479,-624292406,-599535144
1.57,STAY (ê√é~),457861714,440808812,-625208237,-598403220
1.62,STAY (ê√é~),456934158,440359911,-626257163,-598345886
1.67,STAY (ê√é~),456312729,439509725,-626807960,-598868254
1.72,STAY (ê√é~),456097269,439074407,-626885092,-599270838
1.77,STAY (ê√é~),456448852,439101579,-626460866,-599426844
1.82,STAY (ê√é~),456858670,439441038,-625781820,-599575146
1.87,STAY (ê√é~),457588126,439450702,-625048755,-599776413
1.92,STAY (ê√é~),458550568,439473787,-624898834,-599180377
1.97,STAY (ê√é~),458866771,439311417,-625479106,-598451471
2.02,STAY (ê√é~),458590065,438800499,-626461070,-598011128
2.07,STAY (ê√é~),458591801,438060576,-627154940,-597824960
2.12,STAY (ê√é~),458691632,437570348,-627702510,-597532632
2.17,STAY (ê√é~),458579061,437391891,-627953318,-597486164
2.22,STAY (ê√é~),458411293,437696848,-627852875,-597497140
2.27,STAY (ê√é~),458433980,437283730,-628261292,-597352896
2.32,STAY (ê√é~),457572505,435420158,-629563583,-598003254
2.37,STAY (ê√é~),456343023,433867452,-631446581,-598085951
2.42,STAY (ê√é~),455406594,434051768,-632662377,-597380718
2.47,STAY (ê√é~),454620993,434937430,-633697716,-596236444
2.52,STAY (ê√é~),453978403,435761396,-634246718,-595540279
2.58,STAY (ê√é~),453412327,436385026,-634640292,-595095437
2.63,STAY (ê√é~),452954093,436582969,-634985325,-594931127
2.68,STAY (ê√é~),452543734,436492239,-635090658,-595197497
2.73,STAY (ê√é~),452397813,436463549,-634773658,-595667441
2.78,STAY (ê√é~),452581233,436596464,-634498202,-595724177
2.83,STAY (ê√é~),452780106,437077854,-634102828,-595641032
2.88,STAY (ê√é~),452941955,437732417,-633338091,-595850894
2.93,STAY (ê√é~),452993367,438308082,-632726051,-596038836
2.98,STAY (ê√é~),453123142,438565330,-632686443,-595792953
3.03,STAY (ê√é~),452881321,439148980,-632926481,-595291746
3.08,STAY (ê√é~),452555528,439695886,-633160561,-594886740
3.13,STAY (ê√é~),452280741,439990766,-632815683,-595244554
3.18,STAY (ê√é~),451576006,440053200,-632279721,-596302067
3.23,STAY (ê√é~),450429448,440047417,-632308435,-597142477
